year,id,journal.id,journal.title
2020,pub.1124817052,jour.1022375,Breast Cancer Research
2020,pub.1124278101,jour.1045337,Scientific Reports
2020,pub.1123936545,jour.1023439,Genome Biology
2020,pub.1124072153,jour.1045337,Scientific Reports
2020,pub.1125616171,jour.1045337,Scientific Reports
2020,pub.1125610738,jour.1028426,BMC Endocrine Disorders
2020,pub.1124191534,jour.1043282,Nature Communications
2020,pub.1124773988,jour.1043282,Nature Communications
2020,pub.1123951767,jour.1043282,Nature Communications
2020,pub.1124427106,jour.1043282,Nature Communications
2020,pub.1125342606,jour.1045337,Scientific Reports
2020,pub.1124469410,jour.1024631,BMC Pregnancy and Childbirth
2020,pub.1126665962,jour.1043282,Nature Communications
2020,pub.1124546942,jour.1043282,Nature Communications
2020,pub.1124199789,jour.1042271,Clinical Epigenetics
2020,pub.1125754225,jour.1300829,Communications Biology
2020,pub.1125044948,jour.1045337,Scientific Reports
2020,pub.1123755042,jour.1040124,Genome Medicine
2020,pub.1125438954,jour.1024626,BMC Nephrology
2020,pub.1125403255,jour.1033801,International Journal of Behavioral Nutrition and Physical Activity
2020,pub.1125438615,jour.1043282,Nature Communications
2020,pub.1124209523,jour.1045337,Scientific Reports
2020,pub.1125322581,jour.1045271,Translational Psychiatry
2020,pub.1125116282,jour.1053748,npj Genomic Medicine
2020,pub.1125399055,jour.1043282,Nature Communications
2020,pub.1123991458,jour.1032885,BMC Medicine
2020,pub.1124060228,jour.1022375,Breast Cancer Research
2020,pub.1124776529,jour.1043282,Nature Communications
2020,pub.1126697310,jour.1033801,International Journal of Behavioral Nutrition and Physical Activity
2020,pub.1125978299,jour.1045337,Scientific Reports
2020,pub.1124071193,jour.1043282,Nature Communications
2020,pub.1124794848,jour.1022375,Breast Cancer Research
2020,pub.1124863959,jour.1045337,Scientific Reports
2020,pub.1125100280,jour.1039144,Archives of Osteoporosis
2020,pub.1124232310,jour.1045337,Scientific Reports
2020,pub.1124049182,jour.1045337,Scientific Reports
2020,pub.1124912722,jour.1045271,Translational Psychiatry
2020,pub.1125689797,jour.1033801,International Journal of Behavioral Nutrition and Physical Activity
2020,pub.1125690142,jour.1300829,Communications Biology
2020,pub.1125018697,jour.1043282,Nature Communications
2020,pub.1125768309,jour.1028418,BMC Complementary and Alternative Medicine
2020,pub.1124146784,jour.1043282,Nature Communications
2020,pub.1124145592,jour.1043282,Nature Communications
2020,pub.1125551300,jour.1045337,Scientific Reports
2020,pub.1124858255,jour.1043282,Nature Communications
2020,pub.1124910754,jour.1045271,Translational Psychiatry
2020,pub.1123755040,jour.1040124,Genome Medicine
2020,pub.1125674087,jour.1045337,Scientific Reports
2020,pub.1123784472,jour.1043282,Nature Communications
