researcher_id,pubs,full_name,citations_mean,altmetric_mean,last_pub_year,url,total_grants,last_grant_year,total_funding
ur.0723426172.10,49,Kari Stefansson,84.57142857142857,261.3469387755102,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0723426172.10,8,2018,17760368.0
ur.01277776417.51,35,Unnur Thorsteinsdottir,70.34285714285714,168.48571428571432,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01277776417.51,0,0,
ur.0641525362.39,30,Gonçalo R Abecasis,106.9,146.6,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0641525362.39,12,2023,56939889.0
ur.0637651205.48,27,Daniel F Gudbjartsson,55.37037037037037,153.5185185185185,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0637651205.48,0,0,
ur.01313145634.66,27,Andres Metspalu,159.5925925925926,356.51851851851853,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01313145634.66,29,2021,13874871.0
ur.01344404521.43,26,Lude Franke,122.76923076923076,208.5,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01344404521.43,1,2020,
ur.01174076626.46,25,André G. Uitterlinden,112.36,289.52,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01174076626.46,1,2014,0.0
ur.01264737414.70,24,Tõnu Esko,123.54166666666669,401.91666666666674,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01264737414.70,8,2020,1325160.0
ur.01220453202.22,24,Eleftheria Zeggini,73.95833333333333,168.16666666666666,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01220453202.22,9,2021,15612829.0
ur.016704245502.43,23,Mark I McCarthy,100.82608695652172,169.47826086956522,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.016704245502.43,41,2024,73876004.0
ur.01342616137.05,23,Alkes L Price,206.8695652173913,85.78260869565217,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01342616137.05,11,2021,9542060.0
ur.01317433110.75,23,Caroline Hayward,106.2608695652174,366.2608695652174,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01317433110.75,1,2018,129445.0
ur.01247426430.47,23,Gudmar Thorleifsson,69.56521739130434,182.3913043478261,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01247426430.47,0,0,
ur.012266613364.42,23,Ruth J F Loos,94.0,148.47826086956522,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.012266613364.42,9,2022,22395685.0
ur.01047662664.02,22,Anubha Mahajan,77.18181818181819,177.22727272727272,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01047662664.02,0,0,
ur.0767750151.59,21,David A Hinds,115.5238095238095,428.0,2019,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.0767750151.59,1,2014,
ur.01104262534.26,21,Eric Boerwinkle,112.23809523809523,185.52380952380955,2018,https://app.dimensions.ai/discover/publication?and_facet_researcher=ur.01104262534.26,21,2023,127043359.0
