year,publisher,id,issn,journal.id,journal.title
2019,Elsevier,pub.1119794872,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1118043630,"['0032-5910', '1873-328X']",jour.1131466,Powder Technology
2019,Elsevier,pub.1122204215,"['0169-4332', '1873-5584']",jour.1038686,Applied Surface Science
2019,Elsevier,pub.1121886288,"['0030-4026', '1618-1336']",jour.1018211,Optik
2019,Elsevier,pub.1122200091,['2214-7853'],jour.1052494,Materials Today Proceedings
2019,Springer Nature,pub.1121306238,"['1001-0963', '2210-3988', '1006-706x']",jour.1037242,Journal of Iron and Steel Research International
2019,Wiley,pub.1120440243,"['1616-301X', '1616-3028']",jour.1032876,Advanced Functional Materials
2019,Elsevier,pub.1119976101,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1104352420,"['0898-1221', '1873-7668']",jour.1028793,Computers & Mathematics with Applications
2019,Elsevier,pub.1121875635,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1122116619,"['0142-9418', '1873-2348']",jour.1043018,Polymer Testing
2019,Elsevier,pub.1110818225,"['1359-0294', '1879-0399']",jour.1116116,Current Opinion in Colloid & Interface Science
2019,Elsevier,pub.1117738391,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,Elsevier,pub.1117916788,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,Wiley,pub.1113329332,"['0043-2822', '0947-5117', '1521-4176']",jour.1033676,Materials and Corrosion
2019,Elsevier,pub.1122203879,"['0169-4332', '1873-5584']",jour.1038686,Applied Surface Science
2019,AIP Publishing,pub.1121203432,"['0021-8979', '1089-7550']",jour.1077136,Journal of Applied Physics
2019,Springer Nature,pub.1121263565,['2058-8437'],jour.1284373,Nature Reviews Materials
2019,MDPI,pub.1121362384,['2571-8789'],jour.1319422,Soil Systems
2019,MDPI,pub.1121265165,['2075-4701'],jour.1047856,Metals
2019,IOP Publishing,pub.1120642366,"['2631-8644', '2631-7990']",jour.1365822,International Journal of Extreme Manufacturing
2019,Royal Society of Chemistry (RSC),pub.1120333087,"['2040-3364', '2040-3372']",jour.1043052,Nanoscale
2019,Springer Nature,pub.1120991773,"['2196-7229', '2196-7237']",jour.1135960,Lasers in Manufacturing and Materials Processing
2019,MDPI,pub.1120987468,['1996-1944'],jour.1044868,Materials
2019,IOP Publishing,pub.1120961557,"['1757-8981', '1757-899X']",jour.1137008,IOP Conference Series Materials Science and Engineering
2019,MDPI,pub.1120948599,['1996-1944'],jour.1044868,Materials
2019,Wiley,pub.1120927862,['2195-1071'],jour.1052073,Advanced Optical Materials
2019,Emerald,pub.1120358944,"['1355-2546', '1758-7670']",jour.1052037,Rapid Prototyping Journal
2019,Japan Institute of Metals,pub.1117773682,"['0916-1821', '1345-9678', '1347-5320']",jour.1136959,Materials Transactions
2019,Wiley,pub.1115961797,"['0006-3592', '1097-0290']",jour.1081617,Biotechnology and Bioengineering
2019,Elsevier,pub.1113047320,"['0013-9351', '1096-0953']",jour.1009554,Environmental Research
2019,Springer Nature,pub.1114030540,"['1225-9438', '2005-4149', '1598-9623']",jour.1136083,Metals and Materials International
2019,Springer Nature,pub.1117158754,"['0043-2288', '1878-6669']",jour.1136492,Welding in the World
2019,Elsevier,pub.1117870790,"['0966-9795', '1879-0216']",jour.1052634,Intermetallics
2019,Springer Nature,pub.1117467840,"['0043-2288', '1878-6669']",jour.1136492,Welding in the World
2019,Springer Nature,pub.1118043855,"['2196-7229', '2196-7237']",jour.1135960,Lasers in Manufacturing and Materials Processing
2019,Elsevier,pub.1111631663,"['0143-7496', '1879-0127']",jour.1137341,International Journal of Adhesion and Adhesives
2019,Springer Nature,pub.1120249195,"['2523-3963', '2523-3971']",jour.1336318,SN Applied Sciences
2019,Elsevier,pub.1117506748,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,Springer Nature,pub.1111908573,"['2363-9512', '2363-9520']",jour.1156468,Progress in Additive Manufacturing
2019,Elsevier,pub.1120474307,"['0921-5093', '1873-4936']",jour.1038065,Materials Science and Engineering A
2019,Wiley,pub.1112847787,"['0031-8655', '1751-1097']",jour.1017877,Photochemistry and Photobiology
2019,Elsevier,pub.1120201048,"['1526-6125', '2212-4616']",jour.1320081,Journal of Manufacturing Processes
2019,,pub.1120965891,['2187-9761'],jour.1138602,Transactions of the JSME (in Japanese)
2019,American Physical Society (APS),pub.1121298014,"['2469-9950', '1095-3795', '2469-9969']",jour.1320488,Physical Review B
2019,Springer Nature,pub.1120695272,"['1738-2696', '2212-5469']",jour.1040173,Tissue Engineering and Regenerative Medicine
2019,Royal Society of Chemistry (RSC),pub.1120128418,"['2040-3364', '2040-3372']",jour.1043052,Nanoscale
2019,Royal Society of Chemistry (RSC),pub.1117859994,"['0267-9477', '1364-5544']",jour.1096405,Journal of Analytical Atomic Spectrometry
2019,Emerald,pub.1120911891,"['1355-2546', '1758-7670']",jour.1052037,Rapid Prototyping Journal
2019,Wiley,pub.1120395295,"['0960-7722', '1365-2184']",jour.1011056,Cell Proliferation
2019,The Optical Society,pub.1120123174,['2578-7519'],jour.1338580,OSA Continuum
2019,Taylor & Francis,pub.1120313824,"['0301-9233', '1743-2812']",jour.1138195,Ironmaking & Steelmaking
2019,Taylor & Francis,pub.1114528675,"['0301-9233', '1743-2812']",jour.1138195,Ironmaking & Steelmaking
2019,Taylor & Francis,pub.1111258599,"['0570-4928', '1520-569X']",jour.1053478,Applied Spectroscopy Reviews
2019,MDPI,pub.1120188221,"['1424-8220', '1424-8239']",jour.1033312,Sensors
2019,The Optical Society,pub.1119991645,['1094-4087'],jour.1030495,Optics Express
2019,The Optical Society,pub.1120070476,['1094-4087'],jour.1030495,Optics Express
2019,Elsevier,pub.1118099666,"['0013-7944', '1873-7315']",jour.1038955,Engineering Fracture Mechanics
2019,Elsevier,pub.1114305489,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1120182743,"['2405-7843', '2405-8440']",jour.1297203,Heliyon
2019,AIP Publishing,pub.1120231776,"['0034-6748', '1089-7623']",jour.1018818,Review of Scientific Instruments
2019,Springer Nature,pub.1117971610,['2058-8437'],jour.1284373,Nature Reviews Materials
2019,SAGE Publications,pub.1112738743,"['0021-9983', '1530-793X']",jour.1041779,Journal of Composite Materials
2019,Elsevier,pub.1117872473,"['0921-5093', '1873-4936']",jour.1038065,Materials Science and Engineering A
2019,Elsevier,pub.1113617952,"['0927-0248', '1879-3398']",jour.1052512,Solar Energy Materials and Solar Cells
2019,Elsevier,pub.1113053866,"['0030-3992', '1879-2545']",jour.1048637,Optics & Laser Technology
2019,Wiley,pub.1111678569,"['1467-7644', '1467-7652']",jour.1033235,Plant Biotechnology Journal
2019,Elsevier,pub.1113330928,"['0010-4485', '1879-2685']",jour.1123495,Computer-Aided Design
2019,Wiley,pub.1117126054,"['2192-2640', '2192-2659']",jour.1046718,Advanced Healthcare Materials
2019,Pleiades Publishing,pub.1121095802,"['0015-3230', '0031-918X', '1555-6190']",jour.1295452,Physics of Metals and Metallography
2019,Elsevier,pub.1113836000,"['0167-6636', '1872-7743']",jour.1041795,Mechanics of Materials
2019,Elsevier,pub.1113878078,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1117474917,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Institute of Electrical and Electronics Engineers (IEEE),pub.1114949440,"['0018-926X', '1558-2221']",jour.1284594,IEEE Transactions on Antennas and Propagation
2019,Springer Nature,pub.1118149677,"['1476-1122', '1476-4660']",jour.1031408,Nature Materials
2019,Elsevier,pub.1113266028,"['0030-3992', '1879-2545']",jour.1048637,Optics & Laser Technology
2019,Elsevier,pub.1114119168,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Springer Nature,pub.1109813109,"['1557-1955', '1557-1963']",jour.1036713,Plasmonics
2019,Elsevier,pub.1113834792,"['0169-4332', '1873-5584']",jour.1038686,Applied Surface Science
2019,Royal Society of Chemistry (RSC),pub.1117496115,"['1759-9660', '1759-9679']",jour.1042552,Analytical Methods
2019,IOP Publishing,pub.1117924647,"['2631-8644', '2631-7990']",jour.1365822,International Journal of Extreme Manufacturing
2019,MDPI,pub.1119738806,['1996-1944'],jour.1044868,Materials
2019,Wiley,pub.1118089721,['2195-1071'],jour.1052073,Advanced Optical Materials
2019,Royal Society of Chemistry (RSC),pub.1117494373,"['2040-3364', '2040-3372']",jour.1043052,Nanoscale
2019,Royal Society of Chemistry (RSC),pub.1116479875,"['1759-9660', '1759-9679']",jour.1042552,Analytical Methods
2019,The Optical Society,pub.1117639805,['1094-4087'],jour.1030495,Optics Express
2019,IOP Publishing,pub.1116674301,"['1054-660X', '1555-6611']",jour.1030496,Laser Physics
2019,Elsevier,pub.1112781446,"['0143-8166', '1873-0302']",jour.1038957,Optics and Lasers in Engineering
2019,Elsevier,pub.1115025862,"['0043-1648', '1873-2577']",jour.1038872,Wear
2019,IOP Publishing,pub.1111692666,"['1009-0630', '2058-6272']",jour.1137588,Plasma Science and Technology
2019,Wiley,pub.1113159373,['2367-198X'],jour.1291204,Solar RRL
2019,Elsevier,pub.1113672785,"['0079-6425', '1873-2208']",jour.1045007,Progress in Materials Science
2019,Springer Nature,pub.1117127826,"['0947-8396', '1432-0630']",jour.1022207,Applied Physics A
2019,Elsevier,pub.1112383233,"['0142-1123', '1879-3452']",jour.1039075,International Journal of Fatigue
2019,Elsevier,pub.1113235845,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,Elsevier,pub.1113156128,"['0264-1275', '1873-4197']",jour.1031136,Materials & Design
2019,Annual Reviews,pub.1117678357,"['0084-6600', '2375-0308', '1531-7331', '1545-4118']",jour.1297385,Annual Review of Materials Research
2019,Wiley,pub.1116837854,['2637-403X'],jour.1355390,Journal of Advanced Manufacturing and Processing
2019,The Korean Welding and Joining Society,pub.1117488444,"['1225-6153', '2466-2232', '2466-2100']",jour.1139597,Journal of Welding and Joining
2019,MDPI,pub.1117616779,['2075-4701'],jour.1047856,Metals
2019,American Chemical Society (ACS),pub.1116482866,"['1936-0851', '1936-086X']",jour.1038917,ACS Nano
2019,The Optical Society,pub.1117349185,['1094-4087'],jour.1030495,Optics Express
2019,The Optical Society,pub.1117311010,['1094-4087'],jour.1030495,Optics Express
2019,The Optical Society,pub.1117329446,['1094-4087'],jour.1030495,Optics Express
2019,MDPI,pub.1117315985,['2079-6412'],jour.1145412,Coatings
2019,Taylor & Francis,pub.1113524445,"['0267-0836', '1743-2847']",jour.1327850,Materials Science and Technology
2019,Royal Society of Chemistry (RSC),pub.1112286221,"['0267-9477', '1364-5544']",jour.1096405,Journal of Analytical Atomic Spectrometry
2019,Wiley,pub.1116666755,['2196-7350'],jour.1050189,Advanced Materials Interfaces
2019,AIP Publishing,pub.1116619667,"['0003-6951', '1077-3118']",jour.1125016,Applied Physics Letters
2019,ASME International,pub.1113057962,"['1087-1357', '1528-8935']",jour.1137193,Journal of Manufacturing Science and Engineering
2019,The Optical Society,pub.1113984891,"['0740-3224', '1520-8540']",jour.1312240,Journal of the Optical Society of America B
2019,Elsevier,pub.1112685936,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,Elsevier,pub.1113236484,"['0921-5093', '1873-4936']",jour.1038065,Materials Science and Engineering A
2019,Elsevier,pub.1115869516,"['0093-6413', '1873-3972']",jour.1041971,Mechanics Research Communications
2019,Elsevier,pub.1113800385,"['1526-6125', '2212-4616']",jour.1320081,Journal of Manufacturing Processes
2019,Springer Nature,pub.1107768377,"['2363-9512', '2363-9520']",jour.1156468,Progress in Additive Manufacturing
2019,Elsevier,pub.1112588658,['2589-1529'],jour.1337255,Materialia
2019,Springer Nature,pub.1112158313,"['0268-3768', '1433-3015']",jour.1043671,The International Journal of Advanced Manufacturing Technology
2019,Springer Nature,pub.1111100676,"['1380-7501', '1573-7721']",jour.1044869,Multimedia Tools and Applications
2019,Institute of Electrical and Electronics Engineers (IEEE),pub.1113788459,"['1943-0647', '1943-0655']",jour.1043932,IEEE Photonics Journal
2019,Elsevier,pub.1112284029,"['0927-7765', '1873-4367']",jour.1104572,Colloids and Surfaces B Biointerfaces
2019,Springer Nature,pub.1112634622,"['2196-7229', '2196-7237']",jour.1135960,Lasers in Manufacturing and Materials Processing
2019,Elsevier,pub.1112880397,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,American Physical Society (APS),pub.1117495803,"['2476-0455', '2475-9953']",jour.1298114,Physical Review Materials
2019,American Physical Society (APS),pub.1116649158,"['2476-0455', '2475-9953']",jour.1298114,Physical Review Materials
2019,Elsevier,pub.1113857666,"['1526-6125', '2212-4616']",jour.1320081,Journal of Manufacturing Processes
2019,Elsevier,pub.1114173532,"['0921-5093', '1873-4936']",jour.1038065,Materials Science and Engineering A
2019,Springer Nature,pub.1113303459,"['0043-2288', '1878-6669']",jour.1136492,Welding in the World
2019,Elsevier,pub.1113006964,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,Springer Nature,pub.1117496015,['2190-5444'],jour.1052877,The European Physical Journal Plus
2019,Springer Nature,pub.1112388079,"['0022-2461', '1573-4811', '1573-4803']",jour.1312116,Journal of Materials Science
2019,MDPI,pub.1115976299,['2075-4701'],jour.1047856,Metals
2019,The Optical Society,pub.1114207425,['1094-4087'],jour.1030495,Optics Express
2019,IOP Publishing,pub.1113407215,['2053-1591'],jour.1138827,Materials Research Express
2019,AIP Publishing,pub.1115014181,"['0021-8979', '1089-7550']",jour.1077136,Journal of Applied Physics
2019,"SPIE, the international society for optics and photonics",pub.1115014912,"['0091-3286', '1560-2303']",jour.1122763,Optical Engineering
2019,Taylor & Francis,pub.1112964529,"['0169-4243', '1568-5616']",jour.1041784,Journal of Adhesion Science and Technology
2019,IOP Publishing,pub.1113812458,['2053-1591'],jour.1138827,Materials Research Express
2019,AIP Publishing,pub.1113980610,"['0021-8979', '1089-7550']",jour.1077136,Journal of Applied Physics
2019,Hindawi,pub.1113938754,"['1687-966X', '1687-9678']",jour.1043818,Stem Cells International
2019,Fuji Technology Press,pub.1113971411,"['1881-7629', '1883-8022']",jour.1139277,International Journal of Automation Technology
2019,IOP Publishing,pub.1113238835,"['1612-2011', '1612-202X']",jour.1046926,Laser Physics Letters
2019,ASME International,pub.1106259933,"['0742-4795', '1528-8919']",jour.1049904,Journal of Engineering for Gas Turbines and Power
2019,ASME International,pub.1112737182,"['1087-1357', '1528-8935']",jour.1137193,Journal of Manufacturing Science and Engineering
2019,Japan Society of Applied Physics,pub.1112654350,"['1882-0778', '1882-0786']",jour.1137828,Applied Physics Express
2019,Elsevier,pub.1112878902,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1113011569,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1112070160,"['0925-4005', '1873-3077']",jour.1031133,Sensors and Actuators B Chemical
2019,American Association for the Advancement of Science (AAAS),pub.1115530866,['2375-2548'],jour.1051517,Science Advances
2019,Elsevier,pub.1112873625,"['0958-319X', '1873-3565', '0584-8547']",jour.1089862,Spectrochimica Acta Part B Atomic Spectroscopy
2019,Elsevier,pub.1113049155,"['0928-0987', '1879-0720']",jour.1104804,European Journal of Pharmaceutical Sciences
2019,Laser Institute of America,pub.1113494398,"['1042-346X', '1938-1387']",jour.1102375,Journal of Laser Applications
2019,Elsevier,pub.1111398209,"['0169-4332', '1873-5584']",jour.1038686,Applied Surface Science
2019,Elsevier,pub.1112877694,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Elsevier,pub.1112056519,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Wiley,pub.1112969937,"['0935-9648', '1521-4095']",jour.1129018,Advanced Materials
2019,Elsevier,pub.1111611442,"['0925-8388', '1873-4669']",jour.1041821,Journal of Alloys and Compounds
2019,Elsevier,pub.1110709944,"['0030-3992', '1879-2545']",jour.1048637,Optics & Laser Technology
2019,Elsevier,pub.1110979509,"['0030-3992', '1879-2545']",jour.1048637,Optics & Laser Technology
2019,Elsevier,pub.1113054398,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,Laser Institute of America,pub.1113494401,"['1042-346X', '1938-1387']",jour.1102375,Journal of Laser Applications
2019,Elsevier,pub.1112666750,"['2214-8604', '2214-7810']",jour.1147513,Additive Manufacturing
2019,American Physical Society (APS),pub.1113958572,"['2469-9950', '1095-3795', '2469-9969']",jour.1320488,Physical Review B
2019,Wiley,pub.1112509424,"['1042-7147', '1099-1581']",jour.1129164,Polymers for Advanced Technologies
2019,Pleiades Publishing,pub.1117309071,"['0015-3230', '0031-918X', '1555-6190']",jour.1295452,Physics of Metals and Metallography
2019,Laser Institute of America,pub.1115671198,"['1042-346X', '1938-1387']",jour.1102375,Journal of Laser Applications
2019,Springer Nature,pub.1114221800,"['0306-8919', '1572-817X']",jour.1053336,Optical and Quantum Electronics
2019,Elsevier,pub.1116874768,"['1003-6326', '2210-3384']",jour.1320619,Transactions of Nonferrous Metals Society of China
2019,Laser Institute of America,pub.1113494399,"['1042-346X', '1938-1387']",jour.1102375,Journal of Laser Applications
2019,Laser Institute of America,pub.1113513215,"['1042-346X', '1938-1387']",jour.1102375,Journal of Laser Applications
2019,Elsevier,pub.1112872186,"['0257-8972', '1879-3347']",jour.1044557,Surface and Coatings Technology
2019,Springer Nature,pub.1111210662,"['0268-3768', '1433-3015']",jour.1043671,The International Journal of Advanced Manufacturing Technology
2019,Laser Institute of America,pub.1113513211,"['1042-346X', '1938-1387']",jour.1102375,Journal of Laser Applications
2019,Institute of Electrical and Electronics Engineers (IEEE),pub.1120605420,['2377-5726'],jour.1321855,2018 IEEE 68th Electronic Components and Technology Conference (ECTC)
2019,Laser Institute of America,pub.1114062875,"['1042-346X', '1938-1387']",jour.1102375,Journal of Laser Applications
2019,MDPI,pub.1113667646,['1996-1944'],jour.1044868,Materials
2019,IOP Publishing,pub.1111786301,"['0022-3727', '1361-6463']",jour.1054347,Journal of Physics D
2019,MDPI,pub.1113527122,['2072-666X'],jour.1050710,Micromachines
2019,The Optical Society,pub.1113189710,['1094-4087'],jour.1030495,Optics Express
2019,The Optical Society,pub.1112816486,['2578-7519'],jour.1338580,OSA Continuum
2019,IOP Publishing,pub.1112116349,"['1464-4266', '1741-3575', '0953-4075', '1361-6455']",jour.1016762,Journal of Physics B Atomic Molecular and Optical Physics
2019,IOP Publishing,pub.1112643017,"['1748-6041', '1748-605X']",jour.1037558,Biomedical Materials
2019,The Optical Society,pub.1113018492,['1094-4087'],jour.1030495,Optics Express
2019,The Optical Society,pub.1112908859,"['0740-3224', '1520-8540']",jour.1312240,Journal of the Optical Society of America B
2019,ASME International,pub.1112028705,"['0022-1481', '1528-8943']",jour.1043887,Journal of Heat Transfer
2019,Elsevier,pub.1112307120,"['0959-1524', '1873-2771']",jour.1039977,Journal of Process Control
2019,Springer Nature,pub.1110226445,"['0268-3768', '1433-3015']",jour.1043671,The International Journal of Advanced Manufacturing Technology
