,researcher_id
4,ur.014310336431.75
8,ur.010410655003.51
9,ur.01314463063.90
10,ur.012436654063.15
12,ur.013142742534.19
16,ur.01055753603.27
20,ur.01035236171.02
24,ur.012627462037.62
36,ur.013061716553.74
61,ur.07644474375.26
62,ur.012355611262.41
63,ur.016573723011.24
64,ur.010311155152.66
65,ur.010207475623.17
66,ur.07620457442.79
67,ur.011773542351.82
80,ur.011704116152.94
85,ur.01144540527.52
89,ur.010651302334.56
91,ur.013660345305.60
93,ur.010072040157.55
95,ur.011407315665.16
117,ur.011230151121.16
118,ur.010357604543.43
123,ur.01144262565.40
135,ur.012265404305.30
143,ur.012521043173.28
144,ur.010621635425.45
148,ur.013453547631.90
152,ur.012235654007.98
168,ur.015322134720.47
169,ur.011107424325.85
171,ur.010672443305.14
176,ur.016021402637.80
177,ur.07644453127.11
178,ur.011212042763.67
181,ur.016251662474.25
182,ur.013071442640.12
183,ur.011020077701.80
184,ur.011156363337.63
185,ur.015440030355.87
186,ur.013530037101.53
189,ur.013506011335.42
190,ur.015241155257.40
191,ur.01370131513.43
193,ur.015622353764.28
194,ur.010416773662.27
195,ur.07740603227.51
196,ur.013160633003.10
197,ur.07625661403.45
199,ur.011174241121.19
200,ur.012640053622.45
201,ur.013433660401.90
202,ur.016343071211.19
203,ur.01310200301.63
205,ur.01122620373.34
206,ur.014307673231.77
207,ur.016500214631.33
211,ur.012114605307.55
226,ur.014237275265.99
246,ur.015745474271.69
247,ur.012043275077.78
249,ur.014706315511.01
252,ur.014255003261.57
257,ur.010072542141.62
258,ur.010170714165.07
259,ur.010201401200.87
260,ur.015542442300.36
261,ur.013375341064.50
262,ur.012576061043.37
263,ur.011625534325.81
264,ur.010735656764.15
266,ur.012313360403.35
268,ur.015301262403.52
269,ur.010720417403.30
270,ur.012421342143.97
278,ur.015566475165.77
306,ur.010506211574.85
307,ur.012413075361.99
308,ur.011105450227.31
309,ur.012500411227.59
310,ur.012041204017.13
311,ur.013033127431.70
312,ur.07353064013.32
315,ur.012512207551.02
316,ur.015253760145.65
322,ur.07723502243.54
325,ur.012711404243.01
333,ur.015164244113.09
334,ur.01277754142.63
335,ur.01044007740.24
346,ur.013041357530.63
367,ur.016470055311.40
390,ur.016405241301.56
393,ur.012776765441.42
395,ur.013042134407.92
396,ur.014220575033.48
398,ur.013152454441.15
399,ur.015761723101.49
400,ur.013152112405.28
401,ur.011014531537.25
403,ur.013515471125.45
405,ur.012601000122.55
406,ur.07356606111.26
412,ur.014073352227.24
413,ur.010425144655.24
416,ur.015066171167.25
417,ur.014747246675.66
420,ur.0641775205.12
441,ur.015153163751.29
442,ur.012041355125.26
446,ur.014121422445.40
448,ur.013324042045.65
450,ur.0662411533.69
460,ur.016241557563.62
462,ur.010334066763.52
463,ur.014277307301.84
468,ur.010734236603.67
469,ur.015773714465.27
477,ur.013770543451.18
480,ur.014015200115.60
483,ur.014355237357.05
484,ur.013555234075.36
488,ur.01202645642.41
497,ur.012363545126.14
499,ur.015351447126.30
500,ur.011147273661.22
514,ur.011774505723.46
518,ur.011211756027.38
519,ur.010127735125.07
520,ur.012604717027.38
521,ur.013017671242.22
524,ur.012324617222.36
533,ur.011325041121.67
534,ur.011274411761.54
535,ur.0645215715.13
537,ur.016432656362.10
538,ur.013513067562.16
539,ur.016611075772.38
540,ur.010703405172.75
542,ur.011626664065.54
547,ur.0706777513.10
549,ur.0657016421.80
552,ur.014326443007.61
554,ur.015450424063.69
560,ur.014244613644.63
585,ur.014304345243.98
589,ur.011014624566.29
593,ur.0754050264.20
607,ur.016411675117.60
608,ur.015114131505.05
609,ur.016334217421.11
612,ur.011577617713.27
616,ur.010247514400.16
621,ur.011213212653.09
633,ur.016215117615.06
635,ur.016543613275.09
636,ur.010265142521.62
641,ur.011233451517.28
646,ur.011337642215.67
648,ur.015720505215.60
649,ur.011135745545.14
650,ur.010673531175.23
651,ur.011456332771.53
652,ur.013456204607.82
653,ur.011636171157.17
654,ur.011022141147.00
655,ur.013344216507.29
656,ur.014010043147.52
657,ur.015446571571.11
668,ur.011724474721.84
680,ur.013511663141.85
701,ur.014036516773.45
715,ur.012233137063.64
727,ur.016632313553.51
729,ur.0724456421.69
731,ur.014037052603.97
733,ur.013106631125.09
740,ur.016607100723.74
745,ur.014315256507.50
747,ur.010120012153.89
759,ur.016226456733.18
762,ur.016312506713.39
763,ur.015735065123.97
764,ur.015620764653.53
765,ur.014254411200.81
769,ur.010232573325.95
778,ur.011373741541.29
780,ur.015230506045.34
